date,time,amount
2024-12-29,14:54:13.723257,0.2794
2024-12-30,02:38:09.341890,0.2794
2024-12-30,04:47:52.693845,0.2794
2025-01-01,18:16:16.511684,0.2794
2025-01-01,18:21:46.365347,0.2794
2025-01-01,18:25:36.427721,0.2794
2025-01-01,18:37:28.212665,0.2794
2025-01-01,18:47:46.515366,0.2794
2025-01-01,19:14:11.328752,0.2794
2025-01-01,19:48:44.405446,0.2794
2025-01-01,20:16:41.376421,0.2794
2025-01-01,20:36:59.408193,0.2794
2025-01-01,21:11:33.892574,0.2794
2025-01-01,21:38:34.302797,0.2794
2025-01-01,21:55:07.078454,0.2794
2025-01-01,22:12:54.705958,0.2794
2025-01-02,02:14:04.795309,0.2794
2025-01-02,02:20:42.667912,0.2794
2025-01-02,16:18:00.074456,0.2794
2025-01-02,16:28:28.858873,0.2794
2025-01-02,20:19:49.483063,0.2794
2025-01-02,21:51:24.852744,0.2794
2025-01-02,22:54:04.603801,0.2794
2025-01-03,05:07:57.653106,0.2794
2025-01-03,10:36:48.404484,0.2794
2025-01-03,12:34:59.422479,0.2794
2025-01-04,11:59:10.996213,0.2794
2025-01-04,12:28:50.780493,0.2794
2025-01-05,14:15:38.217494,0.2794
2025-01-05,14:21:40.460378,0.2794
2025-01-05,14:27:49.525610,0.2794
2025-01-05,14:33:24.396143,0.2794
2025-01-05,14:39:44.185162,0.2794
2025-01-05,14:48:41.116038,0.2794
2025-01-05,14:54:57.336592,0.2794
2025-01-05,14:58:46.778303,0.2794
2025-01-05,15:07:05.632279,0.2794
2025-01-05,15:17:37.750451,0.2794
2025-01-05,15:23:36.797125,0.2794
2025-01-05,15:29:14.466118,0.2794
2025-01-05,15:40:31.561061,0.2794
2025-01-05,15:48:12.433883,0.2794
2025-01-05,16:02:36.165778,0.2794
2025-01-05,16:13:38.316651,0.2794
2025-01-05,16:23:39.754345,0.2794
2025-01-05,16:28:19.611645,0.2794
2025-01-05,16:33:29.376193,0.2794
2025-01-05,16:39:19.045855,0.2794
2025-01-05,16:47:06.255305,0.2794
2025-01-05,16:55:59.346388,0.2794
2025-01-05,17:11:57.258255,0.2794
2025-01-05,17:26:37.530890,0.2794
2025-01-05,17:37:58.362802,0.2794
2025-01-05,17:45:47.022711,0.2794
2025-01-05,18:00:59.425351,0.2794
2025-01-05,18:12:24.305130,0.2794
2025-01-05,18:25:09.497073,0.2794
2025-01-05,18:34:55.874122,0.2794
2025-01-05,18:52:56.800772,0.2794
2025-01-05,19:06:51.801061,0.2794
2025-01-05,19:22:34.167866,0.2794
2025-01-05,19:50:58.058544,0.2794
2025-01-05,20:37:06.265552,0.2794
2025-01-05,21:26:37.648257,0.2794
2025-01-05,21:44:51.341093,0.2794
2025-01-05,22:05:43.709581,0.2794
2025-01-05,22:09:00.724730,0.2794
2025-01-05,22:18:41.193578,0.2794
2025-01-05,22:37:52.251958,0.2794
2025-01-05,22:47:31.866477,0.2794
2025-01-05,22:53:33.406426,0.2794
2025-01-05,23:02:40.414756,0.2794
2025-01-05,23:13:29.321556,0.2794
2025-01-05,23:24:02.161419,0.2794
2025-01-06,03:01:22.736055,0.2794
2025-01-06,03:40:09.953874,0.2794
2025-01-06,16:47:49.239566,0.2794
2025-01-07,17:52:14.084304,0.2794
2025-01-08,06:40:42.019807,0.2794
2025-01-09,12:53:24.809399,0.2794
2025-01-09,13:10:43.367211,0.2794
2025-01-09,13:21:55.274865,0.2794
2025-01-09,13:45:59.965818,0.2794
2025-01-09,14:32:08.729621,0.2794
2025-01-09,15:04:09.714928,0.2794
2025-01-09,16:52:40.269360,0.2794
2025-01-09,19:38:14.230795,0.2794
2025-01-09,19:53:41.527995,0.2794
2025-01-09,20:11:06.553580,0.2794
2025-01-09,21:24:39.985866,0.2794
2025-01-09,21:44:21.211001,0.2794
2025-01-09,22:33:56.323366,0.2794
2025-01-09,22:49:47.873841,0.2794
2025-01-10,04:06:21.228547,0.2794
2025-01-10,07:01:27.813879,0.2794
2025-01-10,07:38:41.965467,0.2794
2025-01-10,07:40:37.944767,0.2794
2025-01-10,11:00:25.031245,0.2794
2025-01-10,12:46:00.818720,0.2794
2025-01-11,04:38:02.826833,0.2794
