generated_at,date,Temperatur,Luftfeuchtigkeit,Regen
2024-12-27 13:00:06.809902,2024-12-27 00:00:00+00:00,4.6219997,98.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 01:00:00+00:00,4.3719997,99.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 02:00:00+00:00,4.322,98.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 03:00:00+00:00,3.722,99.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 04:00:00+00:00,3.622,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 05:00:00+00:00,3.472,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 06:00:00+00:00,3.0219998,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 07:00:00+00:00,2.872,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 08:00:00+00:00,2.572,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 09:00:00+00:00,2.372,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 10:00:00+00:00,2.572,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 11:00:00+00:00,2.822,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 12:00:00+00:00,3.0219998,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 13:00:00+00:00,3.122,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 14:00:00+00:00,2.872,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 15:00:00+00:00,2.872,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 16:00:00+00:00,2.822,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 17:00:00+00:00,2.7719998,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 18:00:00+00:00,2.7719998,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 19:00:00+00:00,2.7719998,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 20:00:00+00:00,2.822,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 21:00:00+00:00,2.7719998,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 22:00:00+00:00,2.622,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-27 23:00:00+00:00,2.572,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-28 00:00:00+00:00,2.372,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-28 01:00:00+00:00,2.2719998,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-28 02:00:00+00:00,2.122,100.0,0.0
2024-12-27 13:00:06.809902,2024-12-28 03:00:00+00:00,1.3720001,100.0,0.0
