date,time,amount
2024-12-29,15:17:13.723257,0.2794
2024-12-30,03:01:09.341890,0.2794
2024-12-30,05:10:52.693845,0.2794
2025-01-01,18:39:16.511684,0.2794
2025-01-01,18:44:46.365347,0.2794
2025-01-01,18:48:36.427721,0.2794
2025-01-01,19:00:28.212665,0.2794
2025-01-01,19:10:46.515366,0.2794
2025-01-01,19:37:11.328752,0.2794
2025-01-01,20:11:44.405446,0.2794
2025-01-01,20:39:41.376421,0.2794
2025-01-01,20:59:59.408193,0.2794
2025-01-01,21:34:33.892574,0.2794
2025-01-01,22:01:34.302797,0.2794
2025-01-01,22:18:07.078454,0.2794
2025-01-01,22:35:54.705958,0.2794
2025-01-02,02:37:04.795309,0.2794
2025-01-02,02:43:42.667912,0.2794
2025-01-02,16:41:00.074456,0.2794
2025-01-02,16:51:28.858873,0.2794
2025-01-02,20:42:49.483063,0.2794
2025-01-02,22:14:24.852744,0.2794
2025-01-02,23:17:04.603801,0.2794
2025-01-03,05:30:57.653106,0.2794
2025-01-03,10:59:48.404484,0.2794
2025-01-03,12:57:59.422479,0.2794
2025-01-04,12:22:10.996213,0.2794
2025-01-04,12:51:50.780493,0.2794
2025-01-05,14:38:38.217494,0.2794
2025-01-05,14:44:40.460378,0.2794
2025-01-05,14:50:49.525610,0.2794
2025-01-05,14:56:24.396143,0.2794
2025-01-05,15:02:44.185162,0.2794
2025-01-05,15:11:41.116038,0.2794
2025-01-05,15:17:57.336592,0.2794
2025-01-05,15:21:46.778303,0.2794
2025-01-05,15:30:05.632279,0.2794
2025-01-05,15:40:37.750451,0.2794
2025-01-05,15:46:36.797125,0.2794
2025-01-05,15:52:14.466118,0.2794
2025-01-05,16:03:31.561061,0.2794
2025-01-05,16:11:12.433883,0.2794
2025-01-05,16:25:36.165778,0.2794
2025-01-05,16:36:38.316651,0.2794
2025-01-05,16:46:39.754345,0.2794
2025-01-05,16:51:19.611645,0.2794
2025-01-05,16:56:29.376193,0.2794
2025-01-05,17:02:19.045855,0.2794
2025-01-05,17:10:06.255305,0.2794
2025-01-05,17:18:59.346388,0.2794
2025-01-05,17:34:57.258255,0.2794
2025-01-05,17:49:37.530890,0.2794
2025-01-05,18:00:58.362802,0.2794
2025-01-05,18:08:47.022711,0.2794
2025-01-05,18:23:59.425351,0.2794
2025-01-05,18:35:24.305130,0.2794
2025-01-05,18:48:09.497073,0.2794
2025-01-05,18:57:55.874122,0.2794
2025-01-05,19:15:56.800772,0.2794
2025-01-05,19:29:51.801061,0.2794
2025-01-05,19:45:34.167866,0.2794
2025-01-05,20:13:58.058544,0.2794
2025-01-05,21:00:06.265552,0.2794
2025-01-05,21:49:37.648257,0.2794
2025-01-05,22:07:51.341093,0.2794
2025-01-05,22:28:43.709581,0.2794
2025-01-05,22:32:00.724730,0.2794
2025-01-05,22:41:41.193578,0.2794
2025-01-05,23:00:52.251958,0.2794
2025-01-05,23:10:31.866477,0.2794
2025-01-05,23:16:33.406426,0.2794
2025-01-05,23:25:40.414756,0.2794
2025-01-05,23:36:29.321556,0.2794
2025-01-05,23:47:02.161419,0.2794
2025-01-06,03:24:22.736055,0.2794
2025-01-06,04:03:09.953874,0.2794
2025-01-06,17:28:49.239566,0.2794
2025-01-07,18:33:14.084304,0.2794
2025-01-08,07:21:42.019807,0.2794
2025-01-09,13:34:24.809399,0.2794
2025-01-09,13:51:43.367211,0.2794
2025-01-09,14:02:55.274865,0.2794
2025-01-09,14:26:59.965818,0.2794
2025-01-09,15:13:08.729621,0.2794
2025-01-09,15:45:09.714928,0.2794
2025-01-09,17:33:40.269360,0.2794
2025-01-09,20:19:14.230795,0.2794
2025-01-09,20:34:41.527995,0.2794
2025-01-09,20:52:06.553580,0.2794
2025-01-09,22:05:39.985866,0.2794
2025-01-09,22:25:21.211001,0.2794
2025-01-09,23:14:56.323366,0.2794
2025-01-09,23:30:47.873841,0.2794
2025-01-10,04:47:21.228547,0.2794
2025-01-10,07:42:27.813879,0.2794
2025-01-10,08:19:41.965467,0.2794
2025-01-10,08:21:37.944767,0.2794
2025-01-10,11:41:25.031245,0.2794
2025-01-10,13:27:00.818720,0.2794
2025-01-11,05:19:02.826833,0.2794
