Date & Time,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2024-12-28 01:00,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0,-0.8586664666666672 -1.0766666666666822 0.0
2024-12-28 02:00,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0,-1.0353333333333334 -1.8133333333333042 0.0
2024-12-28 03:00,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0,-0.07533333333333314 -1.850000000000037 0.0
2024-12-28 04:00,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0,-0.12200000000000022 -1.1500000000000057 0.0
2024-12-28 05:00,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0,0.0013333333333332975 -0.5666666666666345 0.0
2024-12-28 06:00,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0,-0.05533333333333339 -0.6899999999999551 0.0
2024-12-28 07:00,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0,0.2580000200000001 -0.6766666666666623 0.0
2024-12-28 08:00,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0,0.15466666666666662 -0.9133333333333411 0.0
2024-12-28 09:00,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0,0.18466666666666678 -0.9033333333333644 0.0
2024-12-28 10:00,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0,-0.21533331333333341 -1.2900000000000063 0.0
2024-12-28 11:00,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0,-0.6053333333333333 -1.8400000000000034 0.0
2024-12-28 12:00,0.5013333333333332 -1.163333333333341 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0,0.4513332333333333 -0.1633333333333411 0.0
2024-12-28 13:00,-0.22533343333333344 0.1500000000000199 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0,0.1246666666666667 1.15000000000002 0.0
2024-12-28 14:00,-1.0053331333333337 4.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0,-1.3553333333333335 7.296666666666638 0.0
2024-12-28 15:00,-0.7186667666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0,-0.7686666666666667 4.756666666666675 0.0
2024-12-28 16:00,-0.005333333333333523 1.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0,-0.05533331333333352 0.8933333333333167 0.0
2024-12-28 17:00,0.14800002 0.9433333333333138 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0,0.14800002 -1.0566666666666862 0.0
2024-12-28 18:00,0.74800003 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0,0.798 -0.5766666666666964 0.0
2024-12-28 19:00,1.0246665666666666 -0.8966666666666754 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0,-0.07533333333333331 0.10333333333332462 0.0
2024-12-28 20:00,0.9146666666666667 -0.9266666666666339 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0,0.21466666666666673 0.07333333333336611 0.0
