Date,Hour,Average Temperature(in °C),Average Humidity(in %),Rainfall(in mm)
2024-12-27,00:00,4.378947368421053,97.83157894736841,0
2024-12-27,01:00,4.02,97.99,0
2024-12-27,02:00,4.133333333333334,98.29333333333334,0
2024-12-27,03:00,3.9033333333333333,98.33,0
2024-12-27,04:00,3.8666666666666667,98.30333333333333,0
2024-12-27,05:00,3.703333333333333,98.61666666666666,0
2024-12-27,06:00,3.5633333333333335,98.76666666666667,0
2024-12-27,07:00,3.146666666666667,98.45,0
2024-12-27,08:00,3.086666666666667,99.11,0
2024-12-27,09:00,2.9433333333333334,98.89666666666668,0
2024-12-27,10:00,3.25,97.66333333333334,0
2024-12-27,11:00,3.3733333333333335,96.3,0
2024-12-27,12:00,3.6266666666666665,94.16333333333334,0
2024-12-27,13:00,3.74,94.6,0
2024-12-27,14:00,3.8699999999999997,94.94333333333334,0
2024-12-27,15:00,3.453333333333333,96.03,0
2024-12-27,16:00,3.0166666666666666,97.12666666666668,0
2024-12-27,17:00,2.55,97.51,0
2024-12-27,18:00,2.4466666666666668,97.84333333333333,0
2024-12-27,19:00,2.1133333333333337,98.49,0
2024-12-27,20:00,1.7233333333333334,98.75,0
2024-12-27,21:00,1.9266666666666665,98.86333333333333,0
2024-12-27,22:00,1.8166666666666667,98.61,0
2024-12-27,23:00,1.5599999999999998,98.58,0
2024-12-28,00:00,1.52,98.86333333333333,0
2024-12-28,01:00,1.4133333333333333,98.92333333333333,0
2024-12-28,02:00,1.0866666666666667,98.18666666666667,0
2024-12-28,03:00,0.6966666666666667,98.15,0
2024-12-28,04:00,0.2,98.85,0
2024-12-28,05:00,0.22333333333333333,99.43333333333334,0
2024-12-28,06:00,-0.13333333333333333,99.31,0
2024-12-28,07:00,-0.22000000000000003,99.32333333333332,0
2024-12-28,08:00,-0.2733333333333333,99.08666666666666,0
2024-12-28,09:00,-0.24333333333333332,99.09666666666666,0
2024-12-28,10:00,0.15666666666666668,98.71000000000001,0
2024-12-28,11:00,0.5666666666666667,97.16000000000001,0
2024-12-28,12:00,1.5733333333333335,93.83666666666666,0
2024-12-28,13:00,1.2966666666666666,93.15,0
2024-12-28,14:00,1.0166666666666666,94.29666666666667,0
2024-12-28,15:00,0.8033333333333333,95.75666666666666,0
2024-12-28,16:00,0.31666666666666665,96.89333333333335,0
2024-12-28,17:00,-0.08000000000000002,98.94333333333334,0
2024-12-28,18:00,0.07,99.42333333333333,0
2024-12-28,19:00,-0.2033333333333333,99.10333333333332,0
2024-12-28,20:00,-0.11333333333333333,99.07333333333332,0
2024-12-28,21:00,-0.05,98.14333333333335,0
2024-12-28,22:00,0.16333333333333336,97.44,0
2024-12-28,23:00,0.22666666666666666,96.06333333333333,0
2024-12-29,00:00,-0.1,95.91666666666667,0
2024-12-29,01:00,-0.31666666666666665,95.31666666666666,0
2024-12-29,02:00,-0.2733333333333333,94.75333333333333,0
2024-12-29,03:00,-0.3466666666666667,94.20333333333333,0
2024-12-29,04:00,-0.43666666666666665,94.61,0
2024-12-29,05:00,-0.4966666666666667,94.68333333333334,0
2024-12-29,06:00,-0.4,95.22,0
2024-12-29,07:00,-0.23,95.94333333333334,0
2024-12-29,08:00,0.04666666666666667,97.90333333333334,0
2024-12-29,09:00,0.4433333333333333,98.59333333333333,0
2024-12-29,10:00,1.0866666666666667,98.76666666666667,0
2024-12-29,11:00,1.9200000000000002,98.58333333333333,0
2024-12-29,12:00,2.6733333333333333,97.81333333333333,0
2024-12-29,13:00,3.2033333333333336,97.82,0
2024-12-29,14:00,3.4466666666666668,97.56333333333333,0
2024-12-29,15:00,3.4433333333333334,97.72,0.2794
2024-12-29,16:00,3.1666666666666665,97.90333333333334,0
2024-12-29,17:00,3.0933333333333333,98.07333333333332,0
2024-12-29,18:00,3.0366666666666666,98.47333333333333,0
2024-12-29,19:00,3.15,98.77333333333333,0
2024-12-29,20:00,3.363333333333333,98.01333333333334,0
2024-12-29,21:00,3.61,97.10666666666665,0
2024-12-29,22:00,3.7366666666666664,97.17,0
2024-12-29,23:00,3.913333333333333,97.66333333333334,0
2024-12-30,00:00,4.19,97.61333333333333,0
2024-12-30,01:00,4.34,97.82666666666667,0
2024-12-30,02:00,4.46,98.41000000000001,0
2024-12-30,03:00,4.586666666666667,98.45666666666666,0.2794
2024-12-30,04:00,4.516666666666667,98.46000000000001,0
2024-12-30,05:00,4.503333333333333,98.31,0.2794
2024-12-30,06:00,4.6466666666666665,98.29333333333334,0
2024-12-30,07:00,4.763333333333334,97.70666666666666,0
2024-12-30,08:00,4.673333333333333,96.86333333333333,0
2024-12-30,09:00,4.536666666666666,96.21000000000001,0
2024-12-30,10:00,4.78,95.08333333333333,0
2024-12-30,11:00,5.0633333333333335,93.74666666666667,0
2024-12-30,12:00,5.303333333333333,92.56,0
2024-12-30,13:00,5.556666666666667,91.49333333333334,0
2024-12-30,14:00,5.52,91.63000000000001,0
2024-12-30,15:00,5.38,93.59333333333333,0
2024-12-30,16:00,5.5600000000000005,93.28333333333333,0
2024-12-30,17:00,5.886666666666667,92.20333333333333,0
2024-12-30,18:00,6.133333333333334,90.32333333333332,0
2024-12-30,19:00,6.153333333333333,89.25333333333333,0
2024-12-30,20:00,6.053333333333333,88.58999999999999,0
2024-12-30,21:00,5.8,88.40666666666667,0
2024-12-30,22:00,5.836666666666667,88.14666666666668,0
2024-12-30,23:00,6.053333333333333,87.30666666666666,0
2024-12-31,00:00,6.166666666666667,87.05333333333333,0
2024-12-31,01:00,6.319999999999999,86.33999999999999,0
2024-12-31,02:00,6.336666666666667,85.62666666666668,0
2024-12-31,03:00,6.2733333333333325,85.06333333333333,0
2024-12-31,04:00,6.11,84.76333333333334,0
2024-12-31,05:00,5.846666666666667,85.70666666666666,0
2024-12-31,06:00,5.243333333333334,88.25,0
2024-12-31,07:00,4.376666666666667,91.53,0
2024-12-31,08:00,3.7766666666666664,94.05333333333333,0
2024-12-31,09:00,3.5900000000000003,94.67333333333333,0
2024-12-31,10:00,3.7033333333333336,94.05333333333333,0
2024-12-31,11:00,3.913333333333333,89.48333333333333,0
2024-12-31,12:00,3.6233333333333335,87.15,0
2024-12-31,13:00,3.1566666666666667,89.08333333333333,0
2024-12-31,14:00,2.6933333333333334,91.52,0
2024-12-31,15:00,2.503333333333333,91.08,0
2024-12-31,16:00,2.5233333333333334,89.40333333333334,0
2024-12-31,17:00,2.716666666666667,87.99666666666667,0
2024-12-31,18:00,2.9733333333333336,87.96000000000001,0
2024-12-31,19:00,3.2733333333333334,86.37666666666668,0
2024-12-31,20:00,3.1333333333333333,85.63000000000001,0
2024-12-31,21:00,3.51,83.57333333333332,0
2024-12-31,22:00,4.1033333333333335,82.2,0
2024-12-31,23:00,4.5633333333333335,83.57333333333332,0
2025-01-01,00:00,5.27,84.36333333333333,0
2025-01-01,01:00,6.003333333333333,82.65333333333334,0
2025-01-01,02:00,6.15,85.11999999999999,0
2025-01-01,03:00,6.383333333333334,86.71333333333334,0
2025-01-01,04:00,6.533333333333333,88.07,0
2025-01-01,05:00,6.94,85.04666666666667,0
2025-01-01,06:00,7.109999999999999,83.95333333333333,0
2025-01-01,07:00,7.3133333333333335,82.70333333333333,0
2025-01-01,08:00,7.113333333333333,84.24666666666667,0
2025-01-01,09:00,7.166666666666667,82.22333333333333,0
2025-01-01,10:00,7.513333333333334,79.03999999999999,0
2025-01-01,11:00,7.63,77.68333333333334,0
2025-01-01,12:00,7.77,76.74666666666667,0
2025-01-01,13:00,8.056666666666667,76.58,0
2025-01-01,14:00,8.04,80.6,0
2025-01-01,15:00,7.91,83.83999999999999,0
2025-01-01,16:00,8.116666666666667,83.35666666666665,0
2025-01-01,17:00,8.0,84.66000000000001,0
2025-01-01,18:00,7.5600000000000005,89.86999999999999,0.8382
2025-01-01,19:00,6.123333333333333,94.23666666666666,0.8382
2025-01-01,20:00,5.406666666666666,95.43,0.8382
2025-01-01,21:00,5.073333333333333,96.21333333333334,0.2794
2025-01-01,22:00,4.923333333333334,96.79666666666667,0.8382
2025-01-01,23:00,4.843333333333334,96.20666666666666,0
2025-01-02,00:00,4.8966666666666665,94.94,0
2025-01-02,01:00,5.08,93.01,0
2025-01-02,02:00,4.723333333333333,91.91666666666667,0.5588
2025-01-02,03:00,2.5733333333333333,95.82666666666667,0
2025-01-02,04:00,2.1166666666666667,96.53999999999999,0
2025-01-02,05:00,2.2033333333333336,95.98,0
2025-01-02,06:00,1.8900000000000001,97.08666666666666,0
2025-01-02,07:00,1.7633333333333332,97.15333333333334,0
2025-01-02,08:00,1.4833333333333334,96.63000000000001,0
2025-01-02,09:00,1.5933333333333333,96.3,0
2025-01-02,10:00,2.15,93.58,0
2025-01-02,11:00,2.7633333333333336,92.07333333333332,0
2025-01-02,12:00,3.7866666666666666,87.91000000000001,0
2025-01-02,13:00,3.6233333333333335,86.97666666666667,0
2025-01-02,14:00,4.1066666666666665,84.46333333333334,0
2025-01-02,15:00,3.7,84.36333333333333,0
2025-01-02,16:00,3.216666666666667,86.71333333333334,0.5588
2025-01-02,17:00,1.93,94.29333333333334,0
2025-01-02,18:00,1.74,94.07,0
2025-01-02,19:00,1.4133333333333333,94.17333333333333,0
2025-01-02,20:00,1.47,94.61666666666666,0.2794
2025-01-02,21:00,1.4966666666666666,95.79333333333334,0
2025-01-02,22:00,1.3233333333333335,95.99666666666667,0.2794
2025-01-02,23:00,1.3299999999999998,95.78666666666666,0.2794
2025-01-03,00:00,0.7899999999999999,96.16000000000001,0
2025-01-03,01:00,0.92,95.11999999999999,0
2025-01-03,02:00,0.64,97.50666666666666,0
2025-01-03,03:00,0.8533333333333334,96.46666666666667,0
2025-01-03,04:00,1.0,96.27666666666667,0
2025-01-03,05:00,0.7266666666666667,96.28666666666666,0.2794
2025-01-03,06:00,0.31666666666666665,96.38333333333334,0
2025-01-03,07:00,0.3433333333333334,95.03666666666666,0
2025-01-03,08:00,0.43666666666666665,93.85666666666665,0
2025-01-03,09:00,0.9933333333333334,91.48,0
2025-01-03,10:00,1.71,89.06333333333333,0.2794
2025-01-03,11:00,0.9333333333333333,92.63666666666667,0
2025-01-03,12:00,0.44666666666666666,96.84333333333333,0.2794
2025-01-03,13:00,1.4033333333333333,93.77,0
2025-01-03,14:00,1.0833333333333333,94.25666666666666,0
2025-01-03,15:00,0.76,94.93666666666667,0
2025-01-03,16:00,0.2,93.38333333333334,0
2025-01-03,17:00,0.006666666666666667,94.93333333333334,0
2025-01-03,18:00,-0.15,94.26666666666667,0
2025-01-03,19:00,-0.4533333333333333,95.39666666666668,0
2025-01-03,20:00,-0.5266666666666666,94.61999999999999,0
2025-01-03,21:00,-0.5166666666666667,94.33666666666666,0
