Datetime,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2024-12-28 01:00,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0,2.2719998 100.0 0.0
2024-12-28 02:00,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0,2.122 100.0 0.0
2024-12-28 03:00,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0,0.772 100.0 0.0
2024-12-28 04:00,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0,0.322 100.0 0.0
2024-12-28 05:00,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0,0.222 100.0 0.0
2024-12-28 06:00,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0,-0.078 100.0 0.0
2024-12-28 07:00,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0,-0.47800002 100.0 0.0
2024-12-28 08:00,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0
2024-12-28 09:00,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0,-0.428 100.0 0.0
2024-12-28 10:00,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0,0.37199998 100.0 0.0
2024-12-28 11:00,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0,1.172 99.0 0.0
2024-12-28 12:00,1.072 95.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0,1.1220001 94.0 0.0
2024-12-28 13:00,1.5220001 93.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0,1.172 92.0 0.0
2024-12-28 14:00,2.0219998 90.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0,2.372 87.0 0.0
2024-12-28 15:00,1.5220001 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0,1.572 91.0 0.0
2024-12-28 16:00,0.322 95.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0,0.37199998 96.0 0.0
2024-12-28 17:00,-0.22800002 98.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0,-0.22800002 100.0 0.0
